epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3732,0.91774,3.42843,1.21829,0.00605,0.35564,0.14917,0.11481,1.01386,3.5182,1.29061,0.00012861,0.00012861,0.00012861
2,134.159,0.8351,2.73101,1.18014,0.0062,0.27231,0.1266,0.10183,1.04305,3.3979,1.43874,0.000244631,0.000244631,0.000244631
3,179.274,0.87936,3.52898,1.22325,0.00664,0.35564,0.13763,0.10842,1.16112,3.45068,1.55399,0.000332357,0.000332357,0.000332357
4,227.547,0.84726,2.43267,1.14338,0.00685,0.36942,0.11081,0.07863,1.17836,3.44331,1.58604,0.000391789,0.000391789,0.000391789
5,271.378,0.89811,2.4678,1.11131,1,0.01969,0.11993,0.08379,1.39607,3.43723,1.641,0.000422927,0.000422927,0.000422927
6,325.045,0.71883,5.80072,1.02706,0.87668,0.07292,0.11197,0.07781,1.46877,3.35546,1.68805,0.000425771,0.000425771,0.000425771
7,374.249,0.70466,2.685,1.04501,0.85478,0.10417,0.12231,0.07941,1.5249,3.38216,1.75333,0.00040032,0.00040032,0.00040032
8,418.184,0.71319,2.47419,1.092,0.88193,0.09375,0.14291,0.1046,1.46057,3.30359,1.72397,0.000346575,0.000346575,0.000346575
9,463.623,0.69244,2.13729,1.07827,0.89599,0.09226,0.1446,0.10882,1.48238,3.28012,1.76697,0.000264536,0.000264536,0.000264536
10,505.072,0.67263,2.23563,1.09019,0.8974,0.121,0.15498,0.12367,1.43949,3.17631,1.69384,0.000154203,0.000154203,0.000154203
